Run	MS_MSE	DPMS_MSE
1	0.000356	0.737187
2	0.000289	7.916392
3	0.000324	11.844993
4	0.000304	11.689238
5	0.000288	11.422641
6	0.000329	0.584271
7	0.000415	0.111432
8	0.000357	1.759560
9	0.000271	54.911311
10	0.000316	1.225207
11	0.000295	13.532645
12	0.000288	76.243383
13	0.000230	5.427982
14	0.000282	5.689972
15	0.000301	13.143489
16	0.000330	7.984642
17	0.000302	19.527274
18	0.000264	18.830920
19	0.000295	0.276700
20	0.000302	0.000272
