Run	MS_MSE	DPMS_MSE
1	0.669896	0.109216
2	0.663459	0.044495
3	0.663803	0.031155
4	0.684991	0.172819
5	0.653650	0.057338
6	0.676783	0.046399
7	0.661738	0.049702
8	0.688622	0.042848
9	0.672436	0.076783
10	0.662376	0.027550
11	0.668176	0.038922
12	0.656260	0.190420
13	0.666516	0.309390
14	0.672121	0.144280
15	0.664263	0.026598
16	0.664732	0.060811
17	0.667689	0.043643
18	0.692772	0.206379
19	0.702862	0.091271
20	0.670629	0.010803
