Run	MS_MSE	DPMS_MSE
1	0.386032	24.618057
2	0.324719	5.408699
3	0.322544	172.592543
4	0.302928	59.470787
5	0.322915	21.874020
6	0.282061	101.866713
7	0.328792	30.435227
8	0.359042	160.498755
9	0.316650	1.698878
10	0.321009	2.468560
11	0.307657	25.052726
12	0.312933	47.438672
13	0.338736	3.072503
14	0.334991	66.190023
15	0.277532	3.850553
16	0.316497	23.369141
17	0.298166	4.592315
18	0.328826	2.803399
19	0.311019	11.595803
20	0.305934	1.871333
