Run	MS_MSE	DPMS_MSE
1	0.000135	2.557238
2	0.000163	0.005359
3	0.000122	10.913451
4	0.000117	3.270025
5	0.000145	0.373422
6	0.000125	0.829187
7	0.000119	1.675204
8	0.000095	3.215062
9	0.000127	2.198967
10	0.000154	4.298313
11	0.000126	10.966836
12	0.000158	14.497228
13	0.000135	0.417824
14	0.000110	2.253298
15	0.000123	2.288030
16	0.000132	0.000501
17	0.000134	1.470473
18	0.000131	0.002142
19	0.000123	0.102879
20	0.000115	5.824912
