Run	MS_MSE	DPMS_MSE
1	0.001248	4.229363
2	0.001247	0.331898
3	0.001247	1.258592
4	0.001247	0.882297
5	0.001247	1.989510
6	0.001249	0.431004
7	0.001248	1.221425
8	0.001247	3.396348
9	0.001247	0.724296
10	0.001247	0.992681
11	0.001249	0.399448
12	0.001247	1.983143
13	0.001247	1.082877
14	0.001248	4.132096
15	0.001247	2.636423
16	0.001247	2.580949
17	0.001247	1.718529
18	0.001249	0.623974
19	0.001247	1.274428
20	0.001247	0.478369
