Run	MS_MSE	DPMS_MSE
1	0.000006	0.000000
2	0.000006	0.031455
3	0.000006	0.010128
4	0.000006	0.073601
5	0.000006	0.099722
6	0.000006	0.022428
7	0.000006	0.029278
8	0.000006	0.013749
9	0.000006	0.006793
10	0.000006	0.000000
11	0.000006	0.005682
12	0.000006	0.046142
13	0.000006	0.115257
14	0.000006	0.025257
15	0.000006	0.004145
16	0.000006	0.001863
17	0.000006	0.134747
18	0.000006	0.000002
19	0.000006	0.043806
20	0.000006	0.155785
