Run	MS_MSE	DPMS_MSE
1	0.003102	16.670202
2	0.003102	16.670612
3	0.003102	16.667188
4	0.003102	16.711099
5	0.003102	16.678636
6	0.003102	16.667231
7	0.003102	16.671726
8	0.003102	16.666695
9	0.003102	16.666857
10	0.003102	16.667548
11	0.003102	16.666709
12	0.003102	16.666689
13	0.003102	16.668699
14	0.003102	16.690900
15	0.003102	16.666684
16	0.003102	16.673640
17	0.003102	16.679025
18	0.003102	16.698133
19	0.003102	16.666891
20	0.003102	16.691716
