======== n=1000, T=20 ========
-- BW=silverman --
Run 10: MS RMSE = 0.0203, DP RMSE = 2.4522, MS BW = 0.6000, DP BW = 0.6000
Run 11: MS RMSE = 0.0083, DP RMSE = 12.0446, MS BW = 0.6000, DP BW = 0.6000
Run 12: MS RMSE = 0.0009, DP RMSE = 10.6632, MS BW = 0.6000, DP BW = 0.6000
Run 13: MS RMSE = 0.0084, DP RMSE = 9.1930, MS BW = 0.6000, DP BW = 0.6000
Run 14: MS RMSE = 0.0044, DP RMSE = 13.6524, MS BW = 0.6000, DP BW = 0.6000
Run 15: MS RMSE = 0.0328, DP RMSE = 7.3999, MS BW = 0.6000, DP BW = 0.6000
Run 16: MS RMSE = 0.0000, DP RMSE = 15.5012, MS BW = 0.6000, DP BW = 0.6000
Run 17: MS RMSE = 0.0081, DP RMSE = 1.8961, MS BW = 0.6000, DP BW = 0.6000
Run 18: MS RMSE = 0.0160, DP RMSE = 9.9746, MS BW = 0.6000, DP BW = 0.6000
Run 19: MS RMSE = 0.0017, DP RMSE = 13.1535, MS BW = 0.6000, DP BW = 0.6000
Run 20: MS RMSE = 0.0048, DP RMSE = 5.0792, MS BW = 0.6000, DP BW = 0.6000
Run 21: MS RMSE = 0.0047, DP RMSE = 23.1070, MS BW = 0.6000, DP BW = 0.6000
Run 22: MS RMSE = 0.0072, DP RMSE = 7.0927, MS BW = 0.6000, DP BW = 0.6000
Run 23: MS RMSE = 0.0128, DP RMSE = 5.8708, MS BW = 0.6000, DP BW = 0.6000
Run 24: MS RMSE = 0.0121, DP RMSE = 9.4218, MS BW = 0.6000, DP BW = 0.6000
Run 25: MS RMSE = 0.0003, DP RMSE = 2.8823, MS BW = 0.6000, DP BW = 0.6000
Run 26: MS RMSE = 0.0465, DP RMSE = 4.3050, MS BW = 0.6000, DP BW = 0.6000
Run 27: MS RMSE = 0.0221, DP RMSE = 9.8669, MS BW = 0.6000, DP BW = 0.6000
Run 28: MS RMSE = 0.0089, DP RMSE = 7.0912, MS BW = 0.6000, DP BW = 0.6000
Run 29: MS RMSE = 0.0108, DP RMSE = 2.8400, MS BW = 0.6000, DP BW = 0.6000
Run 30: MS RMSE = 0.0015, DP RMSE = 2.1193, MS BW = 0.6000, DP BW = 0.6000
Run 31: MS RMSE = 0.0046, DP RMSE = 12.7946, MS BW = 0.6000, DP BW = 0.6000
Run 32: MS RMSE = 0.0170, DP RMSE = 8.6535, MS BW = 0.6000, DP BW = 0.6000
Run 33: MS RMSE = 0.0003, DP RMSE = 8.4054, MS BW = 0.6000, DP BW = 0.6000
Run 34: MS RMSE = 0.0038, DP RMSE = 10.8698, MS BW = 0.6000, DP BW = 0.6000
Run 35: MS RMSE = 0.0037, DP RMSE = 7.8878, MS BW = 0.6000, DP BW = 0.6000
Run 36: MS RMSE = 0.0001, DP RMSE = 1.0554, MS BW = 0.6000, DP BW = 0.6000
Run 37: MS RMSE = 0.0024, DP RMSE = 1.2996, MS BW = 0.6000, DP BW = 0.6000
Run 38: MS RMSE = 0.0000, DP RMSE = 11.2541, MS BW = 0.6000, DP BW = 0.6000
Run 39: MS RMSE = 0.0011, DP RMSE = 8.2692, MS BW = 0.6000, DP BW = 0.6000
Run 40: MS RMSE = 0.0079, DP RMSE = 21.7023, MS BW = 0.6000, DP BW = 0.6000
Run 41: MS RMSE = 0.0007, DP RMSE = 10.4869, MS BW = 0.6000, DP BW = 0.6000
Run 42: MS RMSE = 0.0003, DP RMSE = 8.3187, MS BW = 0.6000, DP BW = 0.6000
Run 43: MS RMSE = 0.0009, DP RMSE = 11.8292, MS BW = 0.6000, DP BW = 0.6000
Run 44: MS RMSE = 0.0193, DP RMSE = 5.8612, MS BW = 0.6000, DP BW = 0.6000
Run 45: MS RMSE = 0.0000, DP RMSE = 20.4453, MS BW = 0.6000, DP BW = 0.6000
Run 46: MS RMSE = 0.0092, DP RMSE = 13.9051, MS BW = 0.6000, DP BW = 0.6000
Run 47: MS RMSE = 0.0000, DP RMSE = 4.7926, MS BW = 0.6000, DP BW = 0.6000
Run 48: MS RMSE = 0.0098, DP RMSE = 10.2851, MS BW = 0.6000, DP BW = 0.6000
Run 49: MS RMSE = 0.0070, DP RMSE = 12.4859, MS BW = 0.6000, DP BW = 0.6000
Run 50: MS RMSE = 0.0000, DP RMSE = 3.7780, MS BW = 0.6000, DP BW = 0.6000

-- BW=0.7 --
Run 01: MS RMSE = 0.0088, DP RMSE = 9.2155, MS BW = 0.7000, DP BW = 0.7000
Run 02: MS RMSE = 0.0003, DP RMSE = 6.1024, MS BW = 0.7000, DP BW = 0.7000
Run 03: MS RMSE = 0.0000, DP RMSE = 7.6909, MS BW = 0.7000, DP BW = 0.7000
Run 04: MS RMSE = 0.0020, DP RMSE = 18.8225, MS BW = 0.7000, DP BW = 0.7000
Run 05: MS RMSE = 0.0003, DP RMSE = 8.7815, MS BW = 0.7000, DP BW = 0.7000
Run 06: MS RMSE = 0.0007, DP RMSE = 2.5406, MS BW = 0.7000, DP BW = 0.7000
Run 07: MS RMSE = 0.0014, DP RMSE = 6.3008, MS BW = 0.7000, DP BW = 0.7000
Run 08: MS RMSE = 0.0030, DP RMSE = 11.2050, MS BW = 0.7000, DP BW = 0.7000
Run 09: MS RMSE = 0.0035, DP RMSE = 0.7006, MS BW = 0.7000, DP BW = 0.7000
Run 10: MS RMSE = 0.0005, DP RMSE = 3.9526, MS BW = 0.7000, DP BW = 0.7000
Run 11: MS RMSE = 0.0077, DP RMSE = 10.7226, MS BW = 0.7000, DP BW = 0.7000
Run 12: MS RMSE = 0.0027, DP RMSE = 2.4589, MS BW = 0.7000, DP BW = 0.7000
Run 13: MS RMSE = 0.0093, DP RMSE = 11.2031, MS BW = 0.7000, DP BW = 0.7000
Run 14: MS RMSE = 0.0008, DP RMSE = 15.2412, MS BW = 0.7000, DP BW = 0.7000
Run 15: MS RMSE = 0.0001, DP RMSE = 2.8746, MS BW = 0.7000, DP BW = 0.7000
Run 16: MS RMSE = 0.0000, DP RMSE = 5.5552, MS BW = 0.7000, DP BW = 0.7000
Run 17: MS RMSE = 0.0039, DP RMSE = 14.7281, MS BW = 0.7000, DP BW = 0.7000
Run 18: MS RMSE = 0.0006, DP RMSE = 2.8185, MS BW = 0.7000, DP BW = 0.7000
Run 19: MS RMSE = 0.0084, DP RMSE = 10.8940, MS BW = 0.7000, DP BW = 0.7000
Run 20: MS RMSE = 0.0179, DP RMSE = 6.1892, MS BW = 0.7000, DP BW = 0.7000
Run 21: MS RMSE = 0.0013, DP RMSE = 4.5320, MS BW = 0.7000, DP BW = 0.7000
Run 22: MS RMSE = 0.0050, DP RMSE = 9.0782, MS BW = 0.7000, DP BW = 0.7000
Run 23: MS RMSE = 0.0507, DP RMSE = 10.2548, MS BW = 0.7000, DP BW = 0.7000
Run 24: MS RMSE = 0.0517, DP RMSE = 1.5439, MS BW = 0.7000, DP BW = 0.7000
Run 25: MS RMSE = 0.0045, DP RMSE = 17.0930, MS BW = 0.7000, DP BW = 0.7000
Run 26: MS RMSE = 0.0019, DP RMSE = 21.4170, MS BW = 0.7000, DP BW = 0.7000
Run 27: MS RMSE = 0.0181, DP RMSE = 10.6983, MS BW = 0.7000, DP BW = 0.7000
Run 28: MS RMSE = 0.0034, DP RMSE = 1.6303, MS BW = 0.7000, DP BW = 0.7000
Run 29: MS RMSE = 0.0006, DP RMSE = 4.3931, MS BW = 0.7000, DP BW = 0.7000
Run 30: MS RMSE = 0.0078, DP RMSE = 2.2007, MS BW = 0.7000, DP BW = 0.7000
Run 31: MS RMSE = 0.0129, DP RMSE = 3.6514, MS BW = 0.7000, DP BW = 0.7000
Run 32: MS RMSE = 0.0047, DP RMSE = 5.9480, MS BW = 0.7000, DP BW = 0.7000
Run 33: MS RMSE = 0.0001, DP RMSE = 6.3723, MS BW = 0.7000, DP BW = 0.7000
Run 34: MS RMSE = 0.0035, DP RMSE = 9.1313, MS BW = 0.7000, DP BW = 0.7000
Run 35: MS RMSE = 0.0126, DP RMSE = 7.8356, MS BW = 0.7000, DP BW = 0.7000
Run 36: MS RMSE = 0.0013, DP RMSE = 2.9073, MS BW = 0.7000, DP BW = 0.7000
