======== n=1000, T=20 ========
-- BW=silverman --
Run 10: MS RMSE = 0.0045, DP RMSE = 0.0172, MS BW = 0.6000, DP BW = 0.6000
Run 11: MS RMSE = 0.0041, DP RMSE = 0.0054, MS BW = 0.6000, DP BW = 0.6000
Run 12: MS RMSE = 0.0008, DP RMSE = 0.0222, MS BW = 0.6000, DP BW = 0.6000
Run 13: MS RMSE = 0.0049, DP RMSE = 0.0029, MS BW = 0.6000, DP BW = 0.6000
Run 14: MS RMSE = 0.0021, DP RMSE = 0.0198, MS BW = 0.6000, DP BW = 0.6000
Run 15: MS RMSE = 0.0026, DP RMSE = 0.0022, MS BW = 0.6000, DP BW = 0.6000
Run 16: MS RMSE = 0.0017, DP RMSE = 0.0007, MS BW = 0.6000, DP BW = 0.6000
Run 17: MS RMSE = 0.0155, DP RMSE = 0.0128, MS BW = 0.6000, DP BW = 0.6000
Run 18: MS RMSE = 0.0041, DP RMSE = 0.0240, MS BW = 0.6000, DP BW = 0.6000
Run 19: MS RMSE = 0.0060, DP RMSE = 0.0112, MS BW = 0.6000, DP BW = 0.6000
Run 20: MS RMSE = 0.0060, DP RMSE = 0.0438, MS BW = 0.6000, DP BW = 0.6000
Run 21: MS RMSE = 0.0029, DP RMSE = 0.0073, MS BW = 0.6000, DP BW = 0.6000
Run 22: MS RMSE = 0.0069, DP RMSE = 0.0048, MS BW = 0.6000, DP BW = 0.6000
Run 23: MS RMSE = 0.0011, DP RMSE = 0.0013, MS BW = 0.6000, DP BW = 0.6000
Run 24: MS RMSE = 0.0004, DP RMSE = 0.0084, MS BW = 0.6000, DP BW = 0.6000
Run 25: MS RMSE = 0.0006, DP RMSE = 0.0291, MS BW = 0.6000, DP BW = 0.6000
Run 26: MS RMSE = 0.0084, DP RMSE = 0.0017, MS BW = 0.6000, DP BW = 0.6000
Run 27: MS RMSE = 0.0123, DP RMSE = 0.0361, MS BW = 0.6000, DP BW = 0.6000
