======== n=1000, T=20 ========
-- BW=silverman --
Run 10: MS RMSE = 0.0033, DP RMSE = 7.2455, MS BW = 0.6000, DP BW = 0.6000
Run 11: MS RMSE = 0.0127, DP RMSE = 16.4176, MS BW = 0.6000, DP BW = 0.6000
Run 12: MS RMSE = 0.0154, DP RMSE = 12.1668, MS BW = 0.6000, DP BW = 0.6000
Run 13: MS RMSE = 0.0000, DP RMSE = 6.8372, MS BW = 0.6000, DP BW = 0.6000
Run 14: MS RMSE = 0.0259, DP RMSE = 2.0619, MS BW = 0.6000, DP BW = 0.6000
Run 15: MS RMSE = 0.0000, DP RMSE = 4.8963, MS BW = 0.6000, DP BW = 0.6000
Run 16: MS RMSE = 0.0172, DP RMSE = 3.1807, MS BW = 0.6000, DP BW = 0.6000
Run 17: MS RMSE = 0.0460, DP RMSE = 8.9671, MS BW = 0.6000, DP BW = 0.6000
Run 18: MS RMSE = 0.0017, DP RMSE = 2.9931, MS BW = 0.6000, DP BW = 0.6000
Run 19: MS RMSE = 0.0026, DP RMSE = 8.6139, MS BW = 0.6000, DP BW = 0.6000
Run 20: MS RMSE = 0.0267, DP RMSE = 3.1628, MS BW = 0.6000, DP BW = 0.6000
Run 21: MS RMSE = 0.0039, DP RMSE = 10.7876, MS BW = 0.6000, DP BW = 0.6000
Run 22: MS RMSE = 0.0052, DP RMSE = 6.7156, MS BW = 0.6000, DP BW = 0.6000
Run 23: MS RMSE = 0.0127, DP RMSE = 0.9456, MS BW = 0.6000, DP BW = 0.6000
Run 24: MS RMSE = 0.0070, DP RMSE = 4.4848, MS BW = 0.6000, DP BW = 0.6000
Run 25: MS RMSE = 0.0024, DP RMSE = 4.3604, MS BW = 0.6000, DP BW = 0.6000
Run 26: MS RMSE = 0.0061, DP RMSE = 6.4662, MS BW = 0.6000, DP BW = 0.6000
Run 27: MS RMSE = 0.0139, DP RMSE = 4.7341, MS BW = 0.6000, DP BW = 0.6000
Run 28: MS RMSE = 0.0040, DP RMSE = 3.3527, MS BW = 0.6000, DP BW = 0.6000
Run 29: MS RMSE = 0.0072, DP RMSE = 3.5969, MS BW = 0.6000, DP BW = 0.6000
Run 30: MS RMSE = 0.0045, DP RMSE = 3.6672, MS BW = 0.6000, DP BW = 0.6000
Run 31: MS RMSE = 0.0691, DP RMSE = 4.5791, MS BW = 0.6000, DP BW = 0.6000
Run 32: MS RMSE = 0.0061, DP RMSE = 5.0680, MS BW = 0.6000, DP BW = 0.6000
Run 33: MS RMSE = 0.0044, DP RMSE = 8.1892, MS BW = 0.6000, DP BW = 0.6000
Run 34: MS RMSE = 0.0166, DP RMSE = 1.7725, MS BW = 0.6000, DP BW = 0.6000
Run 35: MS RMSE = 0.0251, DP RMSE = 11.3495, MS BW = 0.6000, DP BW = 0.6000
Run 36: MS RMSE = 0.0512, DP RMSE = 2.7625, MS BW = 0.6000, DP BW = 0.6000
Run 37: MS RMSE = 0.0123, DP RMSE = 0.9023, MS BW = 0.6000, DP BW = 0.6000
Run 38: MS RMSE = 0.0227, DP RMSE = 5.5661, MS BW = 0.6000, DP BW = 0.6000
